Company Name,Company Information
Furtados Music India Pvt Ltd,"Industry : Entertainment, Retail, E -CommerceSub Industry : Entertainment Product, Sports , Games , Entertainment OutletsCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059"
FutureBazaar India Ltd,"Industry : Retail, E -CommerceSub Industry : Gift & Decorative ItemsCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400083"
G4K Solutions Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400701
Gadget Guru,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400003
Games2win India Pvt. Ltd,"Industry : Entertainment, E -CommerceSub Industry : Sports , ToysCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400034"
Genie Bazaar Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400706
GiftCompany.in,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400058
Gleam Technologies,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400051
Gozoop Online Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400099
GurukulOnline Learning Solutions (GOLS),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400057
HBN India Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400604
HealthAssure Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059
Healthenablr India Pvt Ltd,"Industry : Hospitals , Healthcare, E -CommerceSub Industry : HospitalsCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400076"
HealthSaverz,"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013"
HitPlay Devices Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400054
Holachef Hospitality Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
Hopscotch.in,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400025
Housefull International Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400093
ICRA Online Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400614
iFAST Financial India Pvt Ltd (Fundsupermart.com),"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : MNCLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400063"
iLiftoff,"Industry : Consulting, E -CommerceSub Industry : Placement , HRCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013"
India Book Distributors Bombay Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400021
India Transact Services Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
IndiaIdeas.com Ltd (BillDesk),"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400053"
Indianhanger.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400001
Indianpurchase.com Infoware Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064
Indiaparenting Pvt Ltd(buzzlingbabyshop.com),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400034
IndiaPay,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400025
Infomoko Technology Pvt Ltd (Babychakra.com),"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400070"
InMatri.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400056
Innofin Solutions Pvt Ltd ( LenDenClub ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400063
Innovacion Retail Pvt Ltd(Hashtag Decor),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059
InteriorsInfo E Commerce LLP,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400001
Intime Infotech(Snak Time),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400080
Inzane Labs Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400022
iStreet Network Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064
Itz Cash Card Ltd ( Ebix ),"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013"
ItzCash Card Ltd,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013"
J.L Morison India Ltd ( Rasoi Group ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
Jewellery Bazar Lifestyle LLP,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400052
Just Buy Live Enterprise Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400604
Just Dial Ltd,Industry : E -CommerceCompany Type  : India's 501-1000Level of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064
KeenBean Retail Pvt Ltd ( Foodesto ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400050
Kissht.com,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400012"
Kyazoonga.Com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400061
Lekhraj Corp Pvt Ltd (Cottonworld ),"Industry : Garment , Textile, E -CommerceSub Industry : Readymade GarmentsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400005"
Living Local,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400061
LivQuik Technology India Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
Mahindra Internet Commerce Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400018
Mirai Health Pvt Ltd,"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400076"
Mister Homecare Service Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400004
Moneycontrol.com,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
MOS Utility Pvt Ltd (Multikink,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064
Mosambee,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
Motocruizer Technologies India Pvt Ltd (ONN Bikes),"Industry : Travel , Tourism, E -CommerceSub Industry : Travel Agencies , Taxi ServicesCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400069"
MotoMojo Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400079
MouthShut.com,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400050
Mxc Solutions India Pvt Ltd ( CarTrade.com ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400025
My Cute Office Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400067
My Mobile Payments Ltd ( Money-On-Mobile ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064
Naturally Yours,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400088
Nayasa,"Industry : Consumer Durables, Home Appliances, E -CommerceSub Industry : Consumer GoodsCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059"
Neiss Wellness India Ltd,"Industry : Pharmaceuticals , Labs, E -CommerceSub Industry : PharmaceuticalsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064"
Network 18 Media and Investments Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
NSDL e-Governance Infrastructure Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
NSL Fashion Pvt Ltd,"Industry : Garment , Textile, E -CommerceSub Industry : Fashion DesignersCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400016"
Oksir IND Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400088
Olympia Industries Ltd,"Industry : Garment , Textile, E -CommerceSub Industry : Yarn , Fibre , Thread , Textile ,AccessoriesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400063"
Online Giftkarting Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
Oslabs Technology India Pvt Ltd (Indus OS),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
Outletwise Retail Pvt Ltd (20dresses.com),"Industry : Retail, E -CommerceSub Industry : Apparel Stores, Consumer Electronics , MobileStores , IT Hardware, Grocery Stores, Footwear Stores, Jewellery , Watches, Fast Food Outlets, Gift & Decorative Items, Florist Outlets, Leather & Accessories, Furniture , Furnishing , Sanitary Outlets, Sports , Games , Entertainment Outlets, Personal Care, Books & Stationery Stores, PharmacyCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013"
Oxygen Group of Companies,"Industry : Hospitals , Healthcare, E -CommerceSub Industry : Healthcare ServicesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400030"
Pal Fashions Pvt Ltd(Naari),"Industry : Garment , Textile, E -CommerceSub Industry : Textile MachinesCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072"
Pattern Creation,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400067
Paycable Solutions India Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400059
PayMate India Pvt Ltd,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400054"
Paytronic Network Pvt Ltd,"Industry : BFSI, E -CommerceSub Industry : Financial ServicesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400018"
PEHCHAN,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400500
Pehlajob,"Industry : Consulting, E -CommerceSub Industry : Placement , HRCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013"
People Interactive India Pvt Ltd (Shaadi.Com),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400034
Pepperfry Pvt Ltd ( Pepperfry.com ),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400078
Pipa Bella,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400004
Planet Homes Realty Marketing Solutions,"Industry : Advertising , Media, E -CommerceSub Industry : Advertising , PR , MRCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400601"
Poojamani Jewellers LLP,"Industry : Gems , Jewellery , Watches, E -CommerceSub Industry : Gems , JewelleryCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400002"
Popular Prakashan Pvt Ltd,"Industry : E -Commerce, Paper , Publishing , PrintingSub Industry : Publication HousesCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400026"
PrettySecrets.com,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400054
Printbindaas Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400063
Psychometrica,"Industry : Consulting, E -CommerceSub Industry : TrainingCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400018"
Purplle.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400086
Quetzal Online Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400079
Rediff.com India Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400016
Redstone Consultancy Services Pvt Ltd ( GrOffr.com ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400076
Rejuvenate Solutions Pvt Ltd (Zimmber),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400053
Reliance Fresh,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400701
Rentomojo Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400076
Roambee Corporation,"Industry : Courier , Logistics , Packaging , Transport, E -CommerceSub Industry : Courier , Logistics , Warehouse , TransportCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400099"
Sachar Gaming Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400089
Saffron Media Pvt Ltd (Pharmabiz.com),Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400020
Saffron Online Trading Pvt Ltd ( Yellow Fashion.in ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400101
Sanghvi Technologies Pvt Ltd (Myglamm,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
Scootsy Logistics Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400013
Securitykart.,"Industry : Security , Safety , Facility Management, E -CommerceSub Industry : Safety , Security EquipmentsCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064"
Share Infotech Pvt Ltd (Testbook),Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 410210
Shivaami Cloud Services Pvt Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400021
Shop CJ Network Pvt Ltd,Industry : E -CommerceCompany Type  : Industry TopLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400007
Shoppers Stop Ltd,"Industry : Retail, E -CommerceSub Industry : Apparel StoresCompany Type  : India's Top 500Level of Office : Head OfficeLocation: Mumbai / Maharashtra - 400064"
Shopsense Retail Technologies Pvt Ltd,Industry : E -CommerceCompany Type  : StartupsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400072
Shree Designer Saree,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400053
Shubhkart.com,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400051
Sixty Plus Products Online Pvt Ltd ( Seniorshelf ),Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400076
Skorydov Systems Pvt Ltd (Stacos),"Industry : Information Technology (IT), E -CommerceSub Industry : IT Software , QA -TestingCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400021"
Smartech Global Solutions Ltd,Industry : E -CommerceCompany Type  : SMEsLevel of Office : Head OfficeLocation: Mumbai / Maharashtra - 400093
